종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,68800,하락1100,-1.57%,100,4072711,5919638,50.56,12542415,13.33
2,SK하이닉스,258500,하락5000,-1.90%,5000,1881886,728002,55.12,1374559,7.24
3,LG에너지솔루션,384000,하락2500,-0.65%,500,898560,234000,4.19,301979,-77.20
4,삼성바이오로직스,1031000,하락20000,-1.90%,2500,733804,71174,12.90,43461,57.35
5,한화에어로스페이스,936000,하락25000,-2.60%,5000,482633,51563,44.15,184646,18.93
6,삼성전자우,56700,하락400,-0.70%,100,462658,815975,74.15,925499,10.98
7,KB금융,115600,상승3200,+2.85%,5000,440970,381462,77.74,892654,8.02
8,현대차,210500,보합0,0.00%,5000,431015,204758,36.00,372330,4.59
9,두산에너빌리티,66300,상승1500,+2.31%,5000,424692,640561,23.78,7621974,-416.98
10,HD현대중공업,466500,상승2500,+0.54%,5000,414127,88773,11.08,247270,47.22
11,셀트리온,178500,상승700,+0.39%,1000,412193,230920,21.38,283520,82.60
12,기아,101800,상승400,+0.39%,5000,404831,397673,39.71,780400,4.34
13,NAVER,228500,하락3500,-1.51%,100,362029,158437,43.61,1076418,19.95
14,한화오션,114200,하락1900,-1.64%,5000,349924,306413,15.04,2253902,50.51
15,신한지주,68700,상승700,+1.03%,5000,333535,485495,60.03,857830,7.54
16,삼성물산,162900,상승300,+0.18%,100,276892,169977,27.38,213161,13.01
17,한국전력,41150,상승2850,+7.44%,5000,264168,641964,20.24,13002999,5.02
18,현대모비스,286000,보합0,0.00%,5000,262534,91795,43.75,146201,6.30
19,카카오,56800,상승2100,+3.84%,100,251064,442014,27.95,3966137,164.16
20,삼성생명,124100,상승1000,+0.81%,500,248200,200000,21.90,98104,11.71
21,HD한국조선해양,350000,하락6500,-1.82%,5000,247706,70773,32.74,182933,16.75
22,하나금융지주,85500,상승1000,+1.18%,5000,243439,284724,67.21,535522,6.45
23,POSCO홀딩스,298500,상승500,+0.17%,5000,241585,80933,29.78,201338,29.02
24,HMM,23050,보합0,0.00%,5000,236272,1025039,7.03,655158,4.54
25,현대로템,197400,하락3600,-1.79%,5000,215447,109142,31.82,1326751,42.32
26,LG화학,301000,상승3000,+1.01%,5000,212483,70592,31.54,265521,-25.20
27,메리츠금융지주,114600,상승1100,+0.97%,500,206297,180014,15.49,197959,9.38
28,삼성화재,437500,상승3500,+0.81%,500,201299,46011,55.61,50728,11.17
29,우리금융지주,25050,상승150,+0.60%,5000,186019,742592,46.98,1181727,6.46
30,SK스퀘어,140300,하락3200,-2.23%,100,185955,132541,53.55,288327,3.78
31,HD현대일렉트릭,507000,상승3000,+0.60%,5000,182759,36047,35.54,134344,32.54
32,삼성SDI,218000,상승4500,+2.11%,5000,175676,80586,27.23,1157281,149.21
33,삼성중공업,19600,하락150,-0.76%,1000,172480,880000,31.44,4162383,118.07
34,KT&G,140500,상승3300,+2.41%,5000,171498,122062,42.80,359163,15.82
35,SK이노베이션,109000,상승2500,+2.35%,5000,164628,151035,13.58,344934,-5.39
36,기업은행,19340,상승110,+0.57%,5000,154222,797426,13.87,645899,5.77
37,고려아연,767000,상승4000,+0.52%,5000,153578,20023,12.01,10379,64.45
38,크래프톤,319500,상승2500,+0.79%,100,151418,47392,42.94,163996,11.54
39,SK,192400,상승4500,+2.39%,200,139495,72503,25.33,149760,15.67
40,KT,54400,하락400,-0.73%,5000,137100,252022,49.00,271042,21.66
41,LIG넥스원,603000,하락11000,-1.79%,5000,132660,22000,31.67,125184,54.07
42,카카오뱅크,26900,하락350,-1.28%,5000,128310,476990,16.87,2665863,27.51
43,LG전자,76900,상승300,+0.39%,5000,125845,163648,29.04,254054,20.10
44,LG,77600,상승100,+0.13%,5000,122027,157251,34.79,125987,15.36
45,SK텔레콤,56300,하락200,-0.35%,100,120927,214790,38.79,476647,9.58
46,현대글로비스,159500,상승10700,+7.19%,500,119625,75000,49.92,360983,10.07
47,삼성에스디에스,154300,하락500,-0.32%,500,119394,77378,18.69,138687,15.76
48,효성중공업,1278000,하락4000,-0.31%,5000,119168,9325,24.40,45717,39.31
49,포스코퓨처엠,150900,상승2500,+1.68%,500,116892,77463,9.98,688479,-54.01
50,삼성전기,155600,하락100,-0.06%,5000,116223,74694,34.59,453969,19.17
51,하이브,259000,하락3000,-1.15%,500,107879,41652,20.48,295798,206.21
52,삼양식품,1429000,상승13000,+0.92%,5000,107647,7533,20.26,27304,35.34
53,한화시스템,56800,하락1200,-2.07%,5000,107306,188919,7.13,758396,24.37
54,미래에셋증권,18720,상승460,+2.52%,5000,106763,570316,12.99,1758179,13.72
55,HD현대,133700,상승1200,+0.91%,1000,105614,78993,23.91,176633,20.11
56,두산,605000,하락12000,-1.94%,5000,99969,16524,15.89,96975,-62.44
57,LS ELECTRIC,326000,하락3000,-0.91%,5000,97800,30000,24.70,149416,42.49
58,한국항공우주,95100,상승500,+0.53%,5000,92699,97475,34.33,602714,56.01
59,HD현대마린솔루션,206000,상승4500,+2.23%,500,92348,44829,29.53,88214,36.86
60,유한양행,114500,하락400,-0.35%,1000,91564,79968,17.22,225513,139.46
61,DB손해보험,128200,상승2700,+2.15%,500,90766,70800,44.71,151818,5.33
62,KODEX CD금리액티브(합성),1073920,상승75,+0.01%,0,88924,8280,0.00,217333,N/A
63,TIGER 미국S&P500,21805,하락45,-0.21%,0,87918,403200,0.07,8604016,N/A
64,대한항공,23800,상승550,+2.37%,5000,87637,368221,16.57,1201459,7.16
65,포스코인터내셔널,48200,상승100,+0.21%,5000,84795,175923,5.78,287330,15.76
66,한미반도체,88400,상승500,+0.57%,100,84256,95312,6.79,383634,62.17
67,카카오페이,62400,상승600,+0.97%,500,84235,134992,34.46,1373746,-2012.90
68,SK바이오팜,101500,하락9900,-8.89%,500,79488,78313,11.50,981600,31.64
69,에이피알,208500,상승21200,+11.32%,100,79322,38044,22.94,2829191,59.32
70,현대건설,71200,상승3700,+5.48%,5000,79285,111356,24.73,2094151,-39.29
71,HD현대미포,198300,상승400,+0.20%,5000,79205,39942,21.85,264293,51.88
72,한국금융지주,142000,상승2700,+1.94%,5000,79131,55726,37.62,148780,7.56
73,한진칼,117400,상승8500,+7.81%,2500,78379,66762,20.89,181510,17.21
74,코웨이,107900,하락400,-0.37%,500,77590,71909,60.38,66870,13.76
75,아모레퍼시픽,128800,상승1600,+1.26%,500,75339,58493,23.52,281341,14.22
76,S-Oil,62400,상승1600,+2.63%,2500,70252,112583,74.32,248319,-18.02
77,KODEX 머니마켓액티브,103475,상승5,0.00%,0,68892,66578,0.00,402510,N/A
78,KODEX 200,43180,하락25,-0.06%,0,68354,158300,33.12,4846366,N/A
79,한화,91000,상승1000,+1.11%,5000,68212,74959,16.39,210551,8.70
80,LG씨엔에스,67500,하락2800,-3.98%,500,65398,96886,3.85,2164714,14.68
81,LG유플러스,14680,하락70,-0.47%,5000,64095,436611,38.19,751162,15.67
82,NH투자증권,19570,하락70,-0.36%,5000,63424,324086,15.97,504840,10.13
83,삼성증권,70800,상승700,+1.00%,5000,63224,89300,29.00,196125,7.07
84,삼성카드,50400,상승200,+0.40%,5000,58393,115859,6.05,50362,8.70
85,현대차2우B,164500,상승100,+0.06%,5000,57516,34964,59.61,47329,3.59
86,맥쿼리인프라,11600,상승30,+0.26%,0,55555,478922,9.13,394563,N/A
87,LS,170200,상승900,+0.53%,5000,54804,32200,15.63,96722,19.29
88,LG디스플레이,10950,상승170,+1.58%,5000,54750,500000,22.81,1658787,-2.68
89,키움증권,209000,상승3500,+1.70%,5000,54603,26126,27.39,72825,7.17
90,한국타이어앤테크놀로지,44050,보합0,0.00%,500,54567,123875,35.42,158825,5.06
91,두산밥캣,56300,상승200,+0.36%,500,53967,95856,34.17,217839,12.22
92,TIGER 미국나스닥100,142255,하락950,-0.66%,0,53915,37900,0.02,320414,N/A
93,한화솔루션,30600,상승450,+1.49%,5000,52599,171893,10.76,1434901,-5.39
94,삼성E&A,26550,상승800,+3.11%,5000,52038,196000,45.61,1063743,6.98
95,넷마블,58800,상승300,+0.51%,100,50541,85954,27.53,310394,49.70
96,KODEX 미국S&P500,20030,하락35,-0.17%,0,48633,242800,0.17,8624387,N/A
97,TIGER CD금리투자KIS(합성),56380,상승10,+0.02%,0,47991,85120,0.02,324054,N/A
98,이수페타시스,64900,하락1400,-2.11%,1000,47643,73409,23.60,685372,45.42
99,LG생활건강,297000,상승2500,+0.85%,5000,46386,15618,27.13,48697,29.11
100,BNK금융지주,14520,상승110,+0.76%,5000,46229,318384,39.93,602462,7.22
